design_id,min_ch_mm,mean_ch_mm,median_ch_mm,p10_ch_mm,p25_ch_mm,p75_ch_mm,p90_ch_mm,max_ch_mm,std_ch_mm,n_runs,porosity,solid_fraction,passes_1p5mm
design_001,1.4844,4.1678,2.5781,1.7969,2.0703,5.7031,9.0313,15.0,3.3019,1128,0.8162,0.1838,False
design_002,1.6406,4.8056,3.8867,2.0312,2.9688,5.0781,7.3438,15.0,3.2589,896,0.7475,0.2525,True
design_003,1.4844,4.6382,3.7891,1.9141,2.3438,5.625,10.0156,15.0,3.1047,1015,0.8173,0.1827,False
design_004,2.1484,3.6249,2.832,2.4219,2.5781,3.75,5.6172,15.0,1.9232,1122,0.7061,0.2939,True
design_005,0.7812,3.6254,2.6172,1.1719,1.6406,5.2344,6.5625,15.0,2.9333,1341,0.844,0.156,False
design_006,0.9766,5.0157,5.1172,1.7188,1.9531,5.8789,14.4531,15.0,3.9448,967,0.842,0.158,False
design_007,0.8984,3.6984,3.0859,1.6406,2.1875,4.2773,5.9375,15.0,2.676,1303,0.8366,0.1634,False
design_008,1.875,5.8705,4.9219,2.5,3.8281,6.3672,10.3125,15.0,3.2601,694,0.7073,0.2927,True
design_009,1.9141,3.6803,2.7344,2.0703,2.2266,4.4531,5.2344,15.0,2.5834,1122,0.7169,0.2831,True
design_010,1.6406,4.5823,3.8281,2.1797,2.6562,5.3906,6.0547,15.0,3.1726,1029,0.8186,0.1814,True
design_011,2.1094,6.9535,4.9023,2.6562,3.4375,12.2656,15.0,15.0,4.6824,664,0.8016,0.1984,True
design_012,0.7031,4.1431,3.75,1.9492,2.6172,5.3125,7.1094,15.0,2.1844,1180,0.8488,0.1512,False
design_013,2.3828,6.8982,4.2188,2.9297,3.5156,7.0703,15.0,15.0,4.6763,606,0.7257,0.2743,True
design_014,2.2656,5.8803,4.8047,2.5781,2.9297,6.0547,15.0,15.0,4.0782,767,0.783,0.217,True
design_015,1.9531,9.1008,10.9375,3.5195,4.2188,15.0,15.0,15.0,4.7329,482,0.7616,0.2384,True
design_016,2.4219,7.3412,5.2344,3.5586,4.2578,11.6406,15.0,15.0,4.5357,622,0.7928,0.2072,True
design_017,0.3906,3.5463,2.6953,1.1328,2.1484,3.5938,6.4844,15.0,3.1248,1377,0.8478,0.1522,False
design_018,1.0547,4.335,3.5547,1.875,2.4609,4.8047,6.0664,15.0,3.2946,1118,0.8414,0.1586,False
design_019,0.9375,6.2478,5.7812,2.0312,3.2031,7.0703,15.0,15.0,4.194,776,0.8417,0.1583,False
design_020,1.7969,5.6893,3.9062,1.9922,2.4609,5.8203,15.0,15.0,4.5783,771,0.7615,0.2385,True
design_021,0.7422,4.0437,3.3203,1.1328,2.0703,4.7266,6.4453,15.0,3.2898,1191,0.8361,0.1639,False
design_022,1.875,5.0262,3.8281,2.8125,3.4082,4.9512,6.9766,15.0,3.262,938,0.8185,0.1815,True
design_023,2.1875,5.0222,4.4141,2.6562,3.0469,5.1953,6.2891,15.0,3.2073,921,0.803,0.197,True
design_024,1.7969,5.6676,5.4688,1.9531,2.6562,6.0645,14.0625,15.0,3.7291,776,0.7635,0.2365,True
design_025,1.5625,4.3009,3.0078,2.0312,2.4121,5.0781,7.4219,15.0,3.053,1092,0.8154,0.1846,True
design_026,0.7812,4.3975,2.9297,1.1719,2.0312,5.5078,15.0,15.0,3.96,1089,0.8314,0.1686,False
design_027,0.8594,3.6441,2.6172,1.0938,1.6797,5.166,6.2188,15.0,3.0295,1330,0.8414,0.1586,False
design_028,2.1094,6.3184,6.0547,2.8125,3.3984,6.7188,15.0,15.0,3.7794,713,0.7821,0.2179,True
design_029,1.875,6.9691,5.0,3.3984,4.1406,6.9531,15.0,15.0,4.4489,665,0.8046,0.1954,True
design_030,1.3281,4.5053,4.0625,1.7969,2.6953,4.5312,6.7578,15.0,2.96,1021,0.7986,0.2014,False
design_031,1.25,5.4237,4.375,2.4219,3.2812,6.4844,6.7578,15.0,3.4115,891,0.839,0.161,False
design_032,0.1562,3.1063,2.5,0.8594,1.4453,3.75,5.2734,15.0,2.6589,1576,0.8499,0.1501,False
design_033,0.7422,3.2016,2.6172,1.4062,1.7188,4.1699,5.8203,15.0,2.0592,1510,0.8393,0.1607,False
design_034,2.5,4.9513,4.6875,3.2031,4.375,4.9609,5.5039,15.0,2.2354,952,0.8183,0.1817,True
design_035,0.625,4.1492,4.2969,1.6797,2.3438,4.8438,6.1328,15.0,2.4563,1170,0.8428,0.1572,False
design_036,1.4844,4.1387,3.0273,1.9023,2.3438,3.6719,7.1094,15.0,3.3766,1138,0.8177,0.1823,False
design_037,1.9531,4.6558,4.1406,2.1875,2.6562,5.4297,6.8359,15.0,2.9425,977,0.7897,0.2103,True
design_038,0.625,3.9998,2.7734,1.25,1.5625,4.5703,7.2656,15.0,3.6015,1216,0.8444,0.1556,False
design_039,1.4844,6.5385,4.5312,2.0234,2.6172,7.3047,15.0,15.0,5.0143,699,0.7935,0.2065,False
design_040,1.9141,4.3763,3.0078,2.0703,2.5,5.4688,8.1562,15.0,3.3978,967,0.7347,0.2653,True
design_041,1.3672,4.8908,3.75,2.7734,3.0469,5.0781,7.1953,15.0,3.2767,980,0.8321,0.1679,False
design_042,3.2812,8.067,7.0508,3.7852,5.0781,10.5273,15.0,15.0,4.1832,520,0.7283,0.2717,True
design_043,0.3516,4.376,3.7891,0.7031,1.3672,6.875,7.2656,15.0,3.7227,1117,0.8486,0.1514,False
design_044,1.9922,5.7886,4.2188,2.4609,2.9688,6.7969,15.0,15.0,3.7853,753,0.7567,0.2433,True
design_045,1.25,4.7568,2.8906,1.4453,1.9531,6.4062,11.1719,15.0,4.0618,1015,0.8382,0.1618,False
design_046,1.8359,4.779,3.6719,2.3438,2.9199,5.625,5.8633,15.0,3.2044,960,0.7965,0.2035,True
design_047,1.6406,5.5281,4.5312,2.2656,3.2031,6.6406,11.9531,15.0,3.4312,851,0.8167,0.1833,True
design_048,0.9375,4.61,3.7109,1.9531,2.7344,4.7266,6.7969,15.0,3.44,1051,0.8412,0.1588,False
design_049,1.5234,5.6635,4.2578,2.5391,3.4766,6.4062,11.4844,15.0,3.5979,825,0.8112,0.1888,True
design_050,0.2344,3.855,3.0859,0.4688,1.7969,6.1719,6.7578,15.0,3.2792,1268,0.8486,0.1514,False
design_051,1.7188,6.3465,5.8594,3.6719,4.9121,6.2109,15.0,15.0,3.2005,748,0.8242,0.1758,True
design_052,1.5625,4.7583,3.8281,2.1562,2.5391,5.8203,6.25,15.0,3.0954,953,0.7873,0.2127,True
design_053,1.9531,4.7415,4.6484,2.9688,3.5156,5.3906,6.3672,15.0,1.8431,996,0.8199,0.1801,True
design_054,2.0312,5.3675,4.7656,2.7344,3.7109,6.0547,6.7578,15.0,2.9248,890,0.8294,0.1706,True
design_055,1.6016,4.8308,4.0625,2.2266,3.0859,6.6406,6.9805,15.0,2.6125,954,0.8001,0.1999,True
design_056,1.4453,6.2104,6.2109,1.9063,3.6328,6.3281,15.0,15.0,3.7615,779,0.8399,0.1601,False
design_057,0.8203,5.2027,3.1641,1.1328,1.3281,6.4453,15.0,15.0,4.5198,932,0.8418,0.1582,False
design_058,0.9375,4.5365,3.0859,1.8359,2.2656,5.2734,12.5938,15.0,3.7864,1065,0.8388,0.1612,False
design_059,2.0703,5.7933,5.1758,2.5391,3.5547,6.7578,11.0938,15.0,3.4655,806,0.8107,0.1893,True
design_060,2.2266,6.2495,6.3281,2.5391,3.1641,6.4453,15.0,15.0,3.6822,734,0.7964,0.2036,True
design_061,1.2109,3.6315,2.9688,1.6406,1.9141,5.5469,6.4844,15.0,2.238,1317,0.8303,0.1697,False
design_062,1.4062,4.3059,2.9297,1.7578,2.3242,4.9609,7.4219,15.0,3.5349,1071,0.8006,0.1994,False
