id,min_ch_mm,mean_ch_mm,mean_wt_mm,min_wt_mm,porosity,pass_channel,pass_wall,passes
design_001,1.484,4.168,1.089,0.039,0.816,False,True,False
design_002,1.641,4.806,1.864,0.039,0.748,True,True,True
design_003,1.484,4.638,1.31,0.039,0.817,False,True,False
design_004,2.148,3.625,1.856,0.078,0.706,True,True,True
design_005,0.781,3.625,0.939,0.039,0.844,False,True,False
design_006,0.977,5.016,1.037,0.039,0.842,False,True,False
design_007,0.898,3.698,0.949,0.039,0.837,False,True,False
design_008,1.875,5.871,2.494,0.039,0.707,True,True,True
design_009,1.914,3.68,1.746,0.117,0.717,True,True,True
design_010,1.641,4.582,1.595,0.078,0.819,True,True,True
design_011,2.109,6.953,1.886,0.078,0.802,True,True,True
design_012,0.703,4.143,1.042,0.039,0.849,False,True,False
design_013,2.383,6.898,4.619,0.156,0.726,True,True,True
design_014,2.266,5.88,3.117,0.078,0.783,True,True,True
design_015,1.953,9.101,2.376,0.039,0.762,True,True,True
design_016,2.422,7.341,4.421,0.156,0.793,True,True,True
design_017,0.391,3.546,0.883,0.039,0.848,False,True,False
design_018,1.055,4.335,1.244,0.117,0.841,False,True,False
design_019,0.938,6.248,2.326,0.078,0.842,False,True,False
design_020,1.797,5.689,2.023,0.039,0.762,True,True,True
design_021,0.742,4.044,1.17,0.039,0.836,False,True,False
design_022,1.875,5.026,1.452,0.039,0.819,True,True,True
design_023,2.188,5.022,2.113,0.078,0.803,True,True,True
design_024,1.797,5.668,2.45,0.039,0.764,True,True,True
design_025,1.562,4.301,1.502,0.078,0.815,True,True,True
design_026,0.781,4.397,1.362,0.039,0.831,False,True,False
design_027,0.859,3.644,0.867,0.039,0.841,False,True,False
design_028,2.109,6.318,2.535,0.039,0.782,True,True,True
design_029,1.875,6.969,4.006,0.039,0.805,True,True,True
design_030,1.328,4.505,1.821,0.039,0.799,False,True,False
design_031,1.25,5.424,1.829,0.039,0.839,False,True,False
design_032,0.156,3.106,0.725,0.039,0.85,False,True,False
design_033,0.742,3.202,0.822,0.039,0.839,False,True,False
design_034,2.5,4.951,1.842,0.195,0.818,True,True,True
design_035,0.625,4.149,0.945,0.039,0.843,False,True,False
design_036,1.484,4.139,1.259,0.039,0.818,False,True,False
design_037,1.953,4.656,2.043,0.078,0.79,True,True,True
design_038,0.625,4.0,1.077,0.078,0.844,False,True,False
design_039,1.484,6.538,2.31,0.039,0.793,False,True,False
design_040,1.914,4.376,2.257,0.039,0.735,True,True,True
design_041,1.367,4.891,1.55,0.039,0.832,False,True,False
design_042,3.281,8.067,4.421,0.039,0.728,True,True,True
design_043,0.352,4.376,1.131,0.039,0.849,False,True,False
design_044,1.992,5.789,2.316,0.117,0.757,True,True,True
design_045,1.25,4.757,1.477,0.039,0.838,False,True,False
design_046,1.836,4.779,2.035,0.078,0.796,True,True,True
design_047,1.641,5.528,1.376,0.039,0.817,True,True,True
design_048,0.938,4.61,1.372,0.039,0.841,False,True,False
design_049,1.523,5.664,1.834,0.039,0.811,True,True,True
design_050,0.234,3.855,0.897,0.039,0.849,False,True,False
design_051,1.719,6.347,2.782,0.039,0.824,True,True,True
design_052,1.562,4.758,1.391,0.078,0.787,True,True,True
design_053,1.953,4.741,1.695,0.078,0.82,True,True,True
design_054,2.031,5.368,1.942,0.078,0.829,True,True,True
design_055,1.602,4.831,1.938,0.039,0.8,True,True,True
design_056,1.445,6.21,2.334,0.156,0.84,False,True,False
design_057,0.82,5.203,1.555,0.039,0.842,False,True,False
design_058,0.938,4.537,1.364,0.078,0.839,False,True,False
design_059,2.07,5.793,2.311,0.039,0.811,True,True,True
design_060,2.227,6.249,3.351,0.117,0.796,True,True,True
design_061,1.211,3.631,1.048,0.039,0.83,False,True,False
design_062,1.406,4.306,1.672,0.039,0.801,False,True,False
design_063,0.82,4.47,1.257,0.117,0.846,False,True,False
design_064,2.07,6.278,3.584,0.039,0.776,True,True,True
design_065,1.758,5.862,2.453,0.156,0.82,True,True,True
design_066,2.656,6.218,3.556,0.195,0.787,True,True,True
design_067,0.859,4.597,1.255,0.078,0.835,False,True,False
design_068,1.133,4.431,1.391,0.039,0.832,False,True,False
design_069,1.562,5.832,2.28,0.039,0.828,True,True,True
design_070,1.875,5.317,1.925,0.039,0.814,True,True,True
design_071,1.25,4.722,1.435,0.039,0.84,False,True,False
design_072,0.859,3.596,0.964,0.039,0.837,False,True,False
design_073,1.914,4.719,2.613,0.039,0.704,True,True,True
design_074,1.797,4.336,1.556,0.039,0.812,True,True,True
design_075,0.82,4.464,1.275,0.039,0.844,False,True,False
design_076,2.188,4.388,2.21,0.078,0.724,True,True,True
design_077,2.07,6.127,3.192,0.156,0.718,True,True,True
design_078,1.445,3.766,1.193,0.039,0.808,False,True,False
design_079,1.445,5.45,2.031,0.039,0.818,False,True,False
design_080,1.719,4.543,1.82,0.039,0.794,True,True,True
design_081,0.859,3.744,1.032,0.039,0.838,False,True,False
design_082,1.406,6.12,2.177,0.039,0.845,False,True,False
design_083,0.273,3.472,0.842,0.039,0.85,False,True,False
design_084,1.875,4.828,1.135,0.039,0.846,True,True,True
design_085,0.43,3.81,0.986,0.078,0.847,False,True,False
design_086,2.266,6.238,2.759,0.039,0.821,True,True,True
design_087,1.172,4.914,1.877,0.039,0.802,False,True,False
design_088,1.25,3.967,1.156,0.117,0.834,False,True,False
design_089,0.977,3.579,0.928,0.039,0.83,False,True,False
design_090,1.211,6.697,1.701,0.039,0.842,False,True,False
design_091,2.227,6.399,3.073,0.195,0.748,True,True,True
design_092,0.039,3.792,0.922,0.039,0.85,False,True,False
design_093,2.148,4.14,2.153,0.039,0.705,True,True,True
design_094,1.562,4.914,1.834,0.117,0.754,True,True,True
design_095,0.625,5.027,1.487,0.078,0.848,False,True,False
design_096,0.703,5.034,1.415,0.039,0.844,False,True,False
design_097,2.422,6.697,4.112,0.234,0.789,True,True,True
design_098,0.781,5.515,1.948,0.039,0.835,False,True,False
design_099,0.703,3.704,0.935,0.039,0.846,False,True,False
design_100,2.031,5.727,2.687,0.039,0.784,True,True,True
design_101,1.562,5.341,1.723,0.039,0.789,True,True,True
design_102,0.82,4.518,1.517,0.039,0.824,False,True,False
design_103,1.484,5.933,1.844,0.039,0.822,False,True,False
design_104,0.742,3.848,1.002,0.039,0.843,False,True,False
design_105,2.031,6.442,3.224,0.117,0.81,True,True,True
design_106,1.992,5.089,2.294,0.039,0.793,True,True,True
design_107,1.719,4.999,1.946,0.117,0.813,True,True,True
design_108,1.68,6.039,1.36,0.078,0.832,True,True,True
design_109,2.422,6.521,3.022,0.039,0.761,True,True,True
design_110,1.367,4.194,1.089,0.039,0.812,False,True,False
design_111,0.664,5.008,1.517,0.117,0.845,False,True,False
design_112,1.641,5.707,2.251,0.039,0.775,True,True,True
design_113,2.617,6.911,2.552,0.078,0.695,True,True,True
design_114,0.742,3.52,0.954,0.039,0.824,False,True,False
design_115,1.133,5.713,2.23,0.234,0.826,False,True,False
design_116,1.641,5.69,2.606,0.039,0.805,True,True,True
design_117,1.328,6.43,2.407,0.039,0.812,False,True,False
design_118,0.781,5.146,1.427,0.039,0.834,False,True,False
design_119,2.031,5.055,2.096,0.039,0.806,True,True,True
design_120,2.773,6.696,3.726,0.156,0.7,True,True,True
design_121,1.484,4.277,1.53,0.078,0.812,False,True,False
design_122,0.82,4.636,1.362,0.078,0.839,False,True,False
design_123,0.43,4.351,1.141,0.039,0.847,False,True,False
design_124,1.523,5.358,1.251,0.039,0.799,True,True,True
design_125,2.031,5.095,1.95,0.039,0.778,True,True,True
design_126,1.641,5.738,2.355,0.078,0.803,True,True,True
design_127,1.367,3.555,1.217,0.039,0.805,False,True,False
design_128,1.016,4.197,1.297,0.039,0.83,False,True,False
design_129,0.703,4.933,1.499,0.039,0.844,False,True,False
design_130,1.875,6.343,3.918,0.156,0.78,True,True,True
design_131,1.914,4.991,1.824,0.078,0.821,True,True,True
design_132,0.469,3.774,0.958,0.039,0.849,False,True,False
design_133,2.305,6.305,2.708,0.078,0.761,True,True,True
design_134,1.719,4.774,1.574,0.039,0.793,True,True,True
design_135,2.266,5.484,2.229,0.078,0.801,True,True,True
design_136,0.547,4.502,1.128,0.039,0.847,False,True,False
design_137,0.547,6.136,1.599,0.039,0.848,False,True,False
design_138,1.289,6.37,2.562,0.078,0.835,False,True,False
design_139,1.68,4.875,2.233,0.039,0.788,True,True,True
design_140,2.5,7.077,2.881,0.039,0.698,True,True,True
design_141,1.836,7.01,2.015,0.078,0.804,True,True,True
design_142,1.211,6.01,2.43,0.156,0.827,False,True,False
design_143,0.742,4.293,1.226,0.039,0.841,False,True,False
design_144,2.109,7.156,2.764,0.039,0.774,True,True,True
design_145,0.781,3.796,0.989,0.039,0.846,False,True,False
design_146,2.344,5.28,2.566,0.039,0.725,True,True,True
design_147,1.211,4.643,1.513,0.039,0.83,False,True,False
design_148,2.305,4.514,2.008,0.039,0.735,True,True,True
design_149,1.758,5.546,2.167,0.078,0.773,True,True,True
design_150,1.328,3.762,1.093,0.039,0.831,False,True,False
design_151,1.055,5.533,1.613,0.078,0.819,False,True,False
design_152,1.172,3.606,1.001,0.039,0.83,False,True,False
design_153,1.68,4.788,1.806,0.078,0.783,True,True,True
design_154,1.406,4.131,1.426,0.039,0.795,False,True,False
design_155,1.016,3.629,0.971,0.039,0.837,False,True,False
design_156,1.328,10.861,1.507,0.039,0.841,False,True,False
design_157,1.406,4.117,1.397,0.039,0.796,False,True,False
design_158,0.078,4.546,1.247,0.039,0.85,False,True,False
design_159,1.641,5.558,2.256,0.078,0.818,True,True,True
design_160,0.781,5.728,1.913,0.078,0.845,False,True,False
design_161,0.664,5.393,1.585,0.078,0.838,False,True,False
design_162,0.352,5.657,1.833,0.039,0.848,False,True,False
design_163,0.273,2.994,0.697,0.039,0.849,False,True,False
